box_id,address,creation_height,eligible_height,eligible_date_est,erg_value,rsn_amount,est_size_bytes,est_rent_erg,underfunded,token_count
5e57c3fd69de6bc5a9a587ff2b643f414416c80f2a174cca3dc443c7dfe9c52d,4z9dZrkxdYok1tkUF56Emr1XAzzi7VY8rTzxZ4qtv7VACufMJDQmbBVsgAjVhFYf8h25DG4wDbcDm1RhiBmMW9MUFQk54sfWmyEa1bBcHNHhbfCJjWZ7z7eC8rbiW1YuoVhMPh9Zc49Qhk6hZyTPEdu8EiBvu5SZ96KpAqdYZAfZiigkAo7D5Nmqn2rPd5NjwxBjCVedPH8XfELYfF3DyfyUkSTSmwkrxeSKqJyPB55djYSJkiAivCYbtCYErhkjEwgikDFX2WwXZeQb49tz3D9GLa8i4j4zQThBFzaHtLXc7nbPMAi8ix1uPKc9jwYY3Qz8uPLMb1TTQQD1ZiAxqYPHstJfrRRsMnpARkvWrkdQfUHmJyKNDox8Gu13yxDSK3st9e3CUtLtBUY5MaYme3oxcwmWf16x8djFExYStkQmX62zP6jkobfb3kiw1EA1NpEYW3BHNjWqrypzjhcuSUXqRAy3nQt8jnExyvo4RERBPwQsHgKydtK7zfQDsJHJTe1ryS79dymhfXWfsBNM7oLNDe1pNvFttdpyMsCU4pTF3LNfy11oAF1p98P5sFVMJ8vHskBxq42YiV22EhqGuzUvgHEXDLh9wgNtr9sdohrbAyafStx7B39f6fJe4rkVt4F2AmF7yH7mvMLbKNmtm3Y5P95XoqHpFXB5KpnYx5rcgaBLhHSSYXQaniqth6mthjzNpY2NfWVdLiPEYWM3bipbEWrBddjx1B4QuJGhw7ter5KA2j8Q2MBiwM5Wn1bmyq354aUtNuMc1Q5rknQzYn7TWNqiJrkBxDK9cVExRVbEhExUkjEWdq7JSUhY3oAjFmRYbQkdRFiXdzu64wyU2gk54HNMgiHWNVB593jogupiN8dP4qEv4Fu43CLZgfHm4uM93ahRfhZfZCnJ645q2u5Leq3hXVaBjKy2z8iPvqc14uZ3gChzYnMzHMopFbPDiWd5qQhufL35NXsEe6Q5yHegNQfxAf9vGWvwZWtsLMpdUCdP2TkMDW7kCd2tMbnAL8HBVn69BLaLFm4PPLgAmDSZVBEXUg6dcHU4Qq1BkBR4vzLwu5kVyVX2nHxfg2DdnQcntuLm12pBPC13HcN25rBEhthgdqRhegTYEirEgcD7mEKgpcY48kMoB7K852hZjgBMG3KpNu79uKXC8hHVtqdvJAtAtfJxdRKdG5soN2pivLqRa8x6eXVwuqiEEtYiMFCFdHwbFJhSs2f6eBvmrkAwku2jpkRy8NwZwSgmpjBimbd4NJTo8RCJufAmePxo2TWsG7ZSRgSqNEQt7D2gE5kE8uHG6XRyJB7XXf6oe33xK6td4PSreQTqJoTLuaFWTmA951JDfFsfyweF88k2mRMgbgp9JmFSuWSrg5j6j92V45KqVbK1KYYnrHb4N2dfK1eukjM7E6Luj8a1N5UR6pNVydUxW3Fpr4TFtJuSHZ9mxLGyAXaQrSyoibw9RgwfjAGETD1786ftfwzfwGavj4kyRaazGWcywcYn8t8r1hPmJvb6hce14z9VNs4wm7cVi8h1Ffcykur8GmoPftetxeyb547ugd14zzwZ6vGXxu3tEuofZVnVgmnVewVdBkoU3EbbtAkZ2niGammuVVMTxwMSrU4aUsc6tqr1StDnKWWsj8GveuAwzs6qz91hywFLEUi1mxFY1rvD56TbMUcdJmXPdFmQZA991FMZtnCrKXZ12YB7TfXMu1a4XwgFbGDAEcN4sB87gyiTyQzragmVvuVC3EeePN1oYJKk,1125745,2176945,2027-11-10,0.001000000,1.015,1487,1.858750,yes,4
a31ce67cee6b70671eda3e890633e77597d4fde8c789c08b25046fb7a72774cf,9hpe81mvRMgdVnQBbwxbVvHom8xYe4jBLbzxbtwWAuWuLnvzYCa,1125859,2177059,2027-11-10,0.001000000,915.366,160,0.200000,yes,2
1cc3b753c4387e4b7bb9162792837611700bb1d1804d413836752c9090e1cd45,9hNtgiGXb5rrSfj3PJ99aGmLSGsk3zB1NDtavFinYa2ZBBbuXCt,1127844,2179044,2027-11-13,0.001080018,2000.000,122,0.152500,yes,1
792c28868183a4133f6be3c55f5458fd32bc2be538c254ed9505558e5c2ab6d0,9enwSgGkRpS79gh42WBNBqLCB2BmXiPEzzR6drEibccDvkcf24c,1133109,2184309,2027-11-20,0.001080084,10441.711,122,0.152500,yes,1
e9c23fec6acaef57eab8cf6f3edf209654d59941ee271f96a4daa328648488b3,9gRxPhQ5PDh9Z7y71nQ2vJjyY9VbokyarUpfwZ8gKWxgyj2Rtew,1133124,2184324,2027-11-20,0.001080001,500.959,122,0.152500,yes,1
6ae1624626d4b1d38c7c915fac6def5155c4dd0a52cc15f414147867f82a669b,9hFXuqRwkBiwCYsLRvAtDtK9Ec1B8kHkHd4bvrr9ZVmugE2Y1At,1133261,2184461,2027-11-21,0.001081423,209.185,122,0.152500,yes,1
67f248a0ec192edc4222085241aee2e356ea8f4346b2f774f35bc5d09358282f,9h2t3ja4tpJm2rxz4f9uQTz2m67SyPJQh71mkKayZrGe7ccuyLp,1134313,2185513,2027-11-22,0.001080015,500.380,122,0.152500,yes,1
81464c22dc17ea22c590d0edf9981d01b5763181c22d61c22e93b3a6485dbad1,9h2t3ja4tpJm2rxz4f9uQTz2m67SyPJQh71mkKayZrGe7ccuyLp,1134313,2185513,2027-11-22,0.241523165,1253.231,122,0.152500,no,1
392392baa9d5cb135e5dd524d96f10f62eac105c99bc1af46a395e2141815b83,9i3xHmrWJ3UUjiwdv4q2gSv9FaQgQW4gMY4H9zCmcCik3gzDTgv,1136493,2187693,2027-11-25,0.001200217,80303.117,122,0.152500,yes,1
202b0149b05de42f2e16b7a64f1abb49e79faccb841a7295289e269d738d50be,9gQh8PpAYpfuxap8psXt5Q79QtwappGXsJ2CECciytJwNPvxb2T,1137258,2188458,2027-11-26,0.001200005,1547.648,122,0.152500,yes,1
